Cluster,APC_Mean,APC_Std,LP_Mean,LP_Std,PDP_Mean,PDP_Std,NNPP_Mean,NNPP_Std
0,18.142857142857142,13.184239675619366,9.857142857142858,9.574462369779813,32.642857142857146,24.768488487956265,0.07142857142857142,0.26726124191242434
1,31.605263157894736,66.36145044574565,6.421052631578948,7.7533015039095625,23.657894736842106,23.217552343907947,0.42105263157894735,3.1038176831969917
2,5.0,,14.0,,42.0,,1.0,
3,2.888888888888889,3.0595932917809696,10.222222222222221,17.942810383115695,21.77777777777778,49.228492201614756,2.4444444444444446,7.333333333333334
4,2.0,,4.0,,21.0,,0.0,
5,36.0,,24.0,,49.0,,0.0,
6,59.75,32.877297131404625,26.0,14.583095236151571,21.0,13.291601358251256,0.25,0.5
7,42.333333333333336,20.231987873991358,23.666666666666668,10.96965511460289,45.333333333333336,15.947831618540913,0.0,0.0
8,15.5,20.506096654409877,0.5,0.7071067811865476,29.5,40.30508652763321,0.0,0.0
9,61.0,,5.0,,12.0,,0.0,
10,40.5,38.890872965260115,31.0,25.45584412271571,27.0,24.041630560342615,0.0,0.0
11,61.0,14.730919862656235,7.0,5.0,12.666666666666666,2.516611478423583,0.0,0.0
12,15.6,2.073644135332772,2.0,2.0,2.6,2.8809720581775866,0.0,0.0
13,17.0,2.943920288775949,1.5,1.2909944487358056,3.0,2.449489742783178,0.0,0.0
14,34.5,10.63014581273465,6.5,3.3166247903554,5.5,2.6457513110645907,0.0,0.0
15,34.142857142857146,28.76009139663602,31.285714285714285,44.21430494653017,10.857142857142858,8.877472827867388,0.7142857142857143,1.889822365046136
16,16.0,0.0,6.0,8.48528137423857,4.0,2.8284271247461903,0.0,0.0
17,81.0,,15.0,,4.0,,0.0,
18,80.57142857142857,58.44900096909881,3.4285714285714284,2.819996622760558,7.285714285714286,14.648256844124102,0.0,0.0
19,27.25,14.863265679744362,11.25,10.04572877727976,6.25,3.2015621187164243,0.0,0.0
20,23.0,13.754999091239519,9.166666666666666,4.262237284181474,3.8333333333333335,2.041241452319315,0.0,0.0
21,12.4,10.13903348450926,6.4,5.176871642217915,2.2,2.16794833886788,0.0,0.0
22,65.5,23.33452377915607,6.5,0.7071067811865476,10.5,2.1213203435596424,0.0,0.0
23,29.0,,5.0,,5.0,,0.0,
24,39.25,16.82012683265696,4.75,2.0615528128088303,5.0,1.8257418583505538,0.0,0.0
25,35.1875,24.639314790256105,46.75,40.925134901019774,11.6875,7.418164642731156,0.5625,0.8139410298049853
26,53.62686567164179,42.29472200788305,26.253731343283583,20.926526071994882,13.074626865671641,10.014101319511859,0.34328358208955223,0.9621982219702612
27,37.0,,36.0,,14.0,,0.0,
28,38.166666666666664,26.072335274513993,37.5,19.39845354661036,27.166666666666668,41.32997298168324,0.16666666666666666,0.408248290463863
29,47.5,28.705400188814647,18.125,14.004463574160917,28.5,19.849433241279208,0.125,0.3535533905932738
30,32.833333333333336,12.139467313958496,21.0,10.677078252031311,15.833333333333334,12.17237309100681,0.16666666666666666,0.408248290463863
31,33.75,21.700614430625386,30.75,21.266170318136737,21.0,13.880441875771343,0.0,0.0
32,30.5,11.095043938624128,21.5,10.014988766843425,19.666666666666668,8.66410218468519,0.0,0.0
33,47.0,15.874507866387544,30.666666666666668,7.234178138070235,20.0,2.0,0.3333333333333333,0.5773502691896258
34,30.625,8.175529690135416,20.875,22.65541562503008,8.625,9.869686635639162,0.25,0.7071067811865476
35,18.0,8.12403840463596,26.5,15.864005379054392,5.5,6.137317546507322,0.0,0.0
36,42.5,17.67766952966369,41.5,31.81980515339464,5.5,2.1213203435596424,0.5,0.7071067811865476
37,21.0,,56.0,,16.0,,1.0,
38,119.0,,17.0,,12.0,,1.0,
39,57.8,43.80296793597438,27.6,20.97140910859354,13.8,7.9498427657407165,0.2,0.44721359549995804
40,97.0,,7.0,,14.0,,0.0,
41,31.0,,10.0,,4.0,,0.0,
42,55.0,11.313708498984761,13.5,3.5355339059327378,27.0,7.0710678118654755,0.0,0.0
43,52.4,31.60379724020517,41.4,28.5709642819419,13.8,11.054410884348384,0.0,0.0
44,44.2,19.266551326067674,25.2,13.553597308463905,14.6,14.18802311810916,0.0,0.0
45,75.0,36.76955262170047,53.5,30.405591591021544,1.0,0.0,0.5,0.7071067811865476
46,35.5,27.577164466275352,23.5,20.506096654409877,19.5,24.748737341529164,0.0,0.0
47,4.3,3.8600518131237562,28.8,39.7961472172035,5.8,7.941452428030194,0.0,0.0
48,6.0,8.48528137423857,12.0,16.97056274847714,6.5,9.192388155425117,0.0,0.0
49,17.666666666666668,7.2571803523590805,132.66666666666666,45.68880242101632,13.0,6.782329983125268,1.3333333333333333,1.632993161855452
50,29.616438356164384,44.20866875052972,31.671232876712327,61.921781931930624,13.287671232876713,14.770916856420927,0.6712328767123288,5.147962904879479
51,2.0,,59.0,,3.0,,0.0,
52,5.0,5.270462766947299,11.4,8.60490816014003,11.6,16.56770620480967,0.1,0.31622776601683794
53,9.5,7.7781745930520225,19.0,12.727922061357855,29.5,27.577164466275352,0.0,0.0
