State,LGA,Ward,PU-Code,Address,Full Address,Latitude,Longitude,Accredited_Voters,Registered_Voters,Results_Found,Transcription_Count,Result_Sheet_Stamped,Result_Sheet_Corrected,Result_Sheet_Invalid,Result_Sheet_Unclear,Result_Sheet_Unsigned,APC,LP,PDP,NNPP,Results_File,Cluster,Cluster_analysis,outlier_scores,APC_Outlier_Score,LP_Outlier_Score,PDP_Outlier_Score,NNPP_Outlier_Score,APC_Outlier,LP_Outlier,PDP_Outlier,NNPP_Outlier
RIVERS,ABUA-ODUAL,ABUA I,32-01-01-001,"OGBEMA I, TOWN HALL","RIVERS ABUA-ODUAL ABUA I OGBEMA I, TOWN HALL ",4.849261,6.643769,129,991,TRUE,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3784/ward/25279/pu/107457/107457-1677585548.pdf,0,0,0,-1.376101891,-1.029524424,-1.317918821,-0.267261242,1,1,1,1
RIVERS,ABUA-ODUAL,ABUA I,32-01-01-002,"OGBEMA II, C.P.S HALL","RIVERS ABUA-ODUAL ABUA I OGBEMA II, C.P.S HALL ",4.849261,6.643769,129,553,TRUE,-1,FALSE,TRUE,FALSE,FALSE,UNKNOWN,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3784/ward/25279/pu/107458/107458-1677586559.pdf,0,0,0,-1.376101891,-1.029524424,-1.317918821,-0.267261242,1,1,1,1
RIVERS,ABUA-ODUAL,ABUA I,32-01-01-003,"OGBEMA III, C.P.S HALL","RIVERS ABUA-ODUAL ABUA I OGBEMA III, C.P.S HALL ",4.849261,6.643769,29,494,TRUE,-1,FALSE,TRUE,FALSE,FALSE,UNKNOWN,10,1,17,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3784/ward/25279/pu/107459/107459-1677588461.pdf,0,0,0,-0.617620534,-0.925079917,-0.631562849,-0.267261242,1,1,1,1
RIVERS,ABUA-ODUAL,ABUA I,32-01-01-004,"OGBEMA IV, TOWN HALL","RIVERS ABUA-ODUAL ABUA I OGBEMA IV, TOWN HALL ",4.849261,6.643769,89,394,TRUE,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,14,5,63,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3784/ward/25279/pu/107460/107460-1677588819.pdf,0,0,0,-0.314227991,-0.50730189,1.225635665,-0.267261242,1,1,1,1
RIVERS,ABUA-ODUAL,ABUA III,32-01-03-001,C.P.S. HALL 1 ODAGA,RIVERS ABUA-ODUAL ABUA III C.P.S. HALL 1 ODAGA ,4.846925,6.65212,140,673,TRUE,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,33,15,76,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3784/ward/25281/pu/107496/107496-1677712331.pdf,0,0,0,1.126886588,0.537143178,1.750496114,-0.267261242,1,1,-1,1
RIVERS,ABUA-ODUAL,ABUA III,32-01-03-003,C.P.S. HALL 2 ODAGA,RIVERS ABUA-ODUAL ABUA III C.P.S. HALL 2 ODAGA ,4.846925,6.65212,67,587,TRUE,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,17,8,37,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3784/ward/25281/pu/107498/107498-1677806980.pdf,0,0,0,-0.086683584,-0.19396837,0.175914766,-0.267261242,1,1,1,1
RIVERS,ABUA-ODUAL,ABUA III,32-01-03-004,TOWN HALL AKA-OMOKWA,RIVERS ABUA-ODUAL ABUA III TOWN HALL AKA-OMOKWA ,4.85526,6.656128,78,340,TRUE,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,34,9,29,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3784/ward/25281/pu/107499/107499-1677752182.pdf,0,0,0,1.202734723,-0.089523863,-0.14707628,-0.267261242,1,1,1,1
RIVERS,ABUA-ODUAL,ABUA III,32-01-03-006,OMOKWA TOWN HALL,RIVERS ABUA-ODUAL ABUA III OMOKWA TOWN HALL ,4.85526,6.656128,102,399,TRUE,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,44,16,27,1,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3784/ward/25281/pu/107501/107501-1677753561.pdf,0,0,0,1.96121608,0.641587685,-0.227824041,3.474396145,-1,1,1,-1
RIVERS,ABUA-ODUAL,ABUA III,32-01-03-010,OTARI TOWN HALL,RIVERS ABUA-ODUAL ABUA III OTARI TOWN HALL ,4.859491,6.651785,133,697,TRUE,-1,FALSE,TRUE,FALSE,FALSE,UNKNOWN,32,29,58,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3784/ward/25281/pu/107505/107505-1677767600.pdf,0,0,0,1.051038452,1.999366273,1.023766261,-0.267261242,1,-1,1,1
RIVERS,ABUA-ODUAL,ABUA III,32-01-03-012,OTARI TOWN HALL,RIVERS ABUA-ODUAL ABUA III OTARI TOWN HALL ,4.859491,6.651785,120,619,TRUE,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,14,29,68,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3784/ward/25281/pu/107507/107507-1677780875.pdf,0,0,0,-0.314227991,1.999366273,1.427505069,-0.267261242,1,-1,1,1
